epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
141,1846.63,0.34729,0.29084,1.01594,0.87469,0.87584,0.92082,0.57827,1.40574,0.83635,2.56096,0.008614,0.008614,0.008614
142,1859.46,0.34292,0.29438,1.01694,0.84297,0.89248,0.89756,0.57761,1.40818,0.95846,2.62565,0.0086041,0.0086041,0.0086041
143,1872.24,0.33971,0.28953,1.01206,0.83826,0.87,0.90979,0.56344,1.41046,0.94081,2.62941,0.0085942,0.0085942,0.0085942
144,1885.04,0.34577,0.29539,1.0223,0.90248,0.85933,0.93519,0.58491,1.42942,0.76364,2.64031,0.0085843,0.0085843,0.0085843
145,1897.86,0.33595,0.29094,1.01344,0.82798,0.86169,0.84241,0.53115,1.43089,1.01977,2.62671,0.0085744,0.0085744,0.0085744
146,1910.61,0.34392,0.29067,1.02231,0.90206,0.89821,0.9349,0.59743,1.40382,0.851,2.62053,0.0085645,0.0085645,0.0085645
147,1923.43,0.34472,0.2858,1.01834,0.89424,0.87622,0.92056,0.59159,1.41431,0.83611,2.63782,0.0085546,0.0085546,0.0085546
148,1936.22,0.33744,0.2824,1.01236,0.86786,0.8987,0.92566,0.59152,1.39513,0.81711,2.63213,0.0085447,0.0085447,0.0085447
149,1948.99,0.33237,0.2852,1.01192,0.90346,0.87799,0.92342,0.61015,1.38202,0.79119,2.56437,0.0085348,0.0085348,0.0085348
150,1961.84,0.33583,0.27819,1.01665,0.83715,0.89503,0.89386,0.57261,1.41733,0.89868,2.70658,0.0085249,0.0085249,0.0085249
151,1974.58,0.3393,0.2862,1.01257,0.80741,0.87266,0.85556,0.54217,1.44125,1.05266,2.68157,0.008515,0.008515,0.008515
152,1987.58,0.33449,0.27935,1.01356,0.86038,0.84861,0.86398,0.55383,1.41885,0.99915,2.63632,0.0085051,0.0085051,0.0085051
153,2000.49,0.33249,0.28763,1.01028,0.86383,0.88419,0.90035,0.56589,1.42823,0.9576,2.7315,0.0084952,0.0084952,0.0084952
154,2013.22,0.33242,0.27516,1.0039,0.82394,0.90139,0.90032,0.57394,1.3789,0.92506,2.56462,0.0084853,0.0084853,0.0084853
155,2026.02,0.33754,0.29298,1.01937,0.8942,0.87184,0.91507,0.57586,1.40578,0.83305,2.70201,0.0084754,0.0084754,0.0084754
156,2038.82,0.33529,0.27648,1.00714,0.88722,0.84861,0.90096,0.56166,1.41446,0.93945,2.77607,0.0084655,0.0084655,0.0084655
157,2051.63,0.34276,0.29112,1.01792,0.90501,0.88401,0.94197,0.55884,1.46187,0.82822,2.74856,0.0084556,0.0084556,0.0084556
158,2064.44,0.32675,0.28383,1.01139,0.88707,0.90034,0.91958,0.56859,1.46015,0.85892,2.6956,0.0084457,0.0084457,0.0084457
159,2077.2,0.33078,0.28282,1.0121,0.8808,0.86923,0.89619,0.54781,1.44695,0.84297,2.71715,0.0084358,0.0084358,0.0084358
160,2090.12,0.32793,0.28589,1.00342,0.8891,0.85139,0.91828,0.55822,1.4661,0.84499,2.88043,0.0084259,0.0084259,0.0084259
161,2103.01,0.32684,0.28382,1.00953,0.8837,0.87666,0.9041,0.5775,1.39991,0.89287,2.63894,0.008416,0.008416,0.008416
162,2115.83,0.332,0.28799,1.01279,0.83545,0.86697,0.88016,0.54567,1.42376,0.93388,2.73608,0.0084061,0.0084061,0.0084061
163,2128.66,0.32656,0.28015,1.00056,0.84406,0.84681,0.88588,0.54315,1.45313,1.009,2.73364,0.0083962,0.0083962,0.0083962
164,2141.46,0.32141,0.27706,1.00621,0.8476,0.86549,0.89374,0.55769,1.41929,0.86429,2.59703,0.0083863,0.0083863,0.0083863
165,2154.26,0.33478,0.29207,1.01383,0.86784,0.87222,0.8881,0.53826,1.38361,0.93179,2.54512,0.0083764,0.0083764,0.0083764
166,2167.18,0.32563,0.2824,1.00795,0.91345,0.82228,0.91966,0.57792,1.41461,0.9223,2.64922,0.0083665,0.0083665,0.0083665
167,2179.99,0.32158,0.27404,1.00602,0.86931,0.83405,0.88169,0.55479,1.43417,0.98446,2.76381,0.0083566,0.0083566,0.0083566
168,2193.18,0.3225,0.27459,1.00355,0.85486,0.87079,0.90469,0.57356,1.40929,0.8753,2.68025,0.0083467,0.0083467,0.0083467
169,2206.07,0.31857,0.26857,0.99753,0.88064,0.85139,0.90701,0.5807,1.40066,0.8873,2.63186,0.0083368,0.0083368,0.0083368
170,2219.25,0.31646,0.2766,1.00276,0.88736,0.8547,0.89385,0.5833,1.35835,0.87706,2.59807,0.0083269,0.0083269,0.0083269
171,2232.2,0.32475,0.281,1.00702,0.84806,0.875,0.89474,0.57646,1.41621,0.97435,2.73524,0.008317,0.008317,0.008317
172,2244.97,0.32684,0.2763,1.01459,0.83731,0.87025,0.91842,0.58445,1.47086,0.97929,2.81825,0.0083071,0.0083071,0.0083071
173,2257.78,0.31798,0.26935,1.00978,0.90665,0.87222,0.95304,0.59018,1.4399,0.82985,2.74237,0.0082972,0.0082972,0.0082972
174,2270.65,0.3248,0.2736,1.00449,0.87505,0.89059,0.9266,0.57893,1.41669,0.89765,2.78461,0.0082873,0.0082873,0.0082873
175,2283.35,0.32445,0.27658,1.0068,0.82748,0.91187,0.92055,0.5888,1.40848,0.86752,2.75316,0.0082774,0.0082774,0.0082774
176,2296.29,0.32102,0.28449,1.00848,0.82225,0.86658,0.8608,0.55362,1.40597,1.01438,2.6801,0.0082675,0.0082675,0.0082675
177,2309.15,0.31865,0.27234,1.00064,0.84553,0.84702,0.87889,0.56992,1.40399,0.99147,2.6628,0.0082576,0.0082576,0.0082576
178,2321.87,0.31745,0.27235,0.99884,0.86423,0.87769,0.91725,0.5916,1.40913,0.87496,2.71581,0.0082477,0.0082477,0.0082477
